 unit--timestamp[ms];bmi160_a_x[mg];bmi160_a_y[mg];bmi160_a_z[mg];bmi160_g_x[mDeg];bmi160_g_y[mDeg];bmi160_g_z[mDeg];
0;23;64;980;-1220;2014;-2502;
4;23;64;980;-1220;2014;-2502;
8;-17;40;962;1220;-1342;0;
12;-17;40;962;1220;-1342;0;
16;-24;37;980;732;-854;-549;
20;-24;37;980;732;-854;-549;
24;-24;37;980;732;-854;-549;
28;-52;35;981;488;-488;-1098;
32;-52;35;981;488;-488;-1098;
36;-113;47;968;732;-610;-732;
40;-113;47;968;732;-610;-732;
44;-113;47;968;732;-610;-732;
48;-95;40;967;732;-854;976;
52;-95;40;967;732;-854;976;
56;-75;38;978;488;-610;1159;
60;-75;38;978;488;-610;1159;
64;-75;38;978;488;-610;1159;
68;-75;52;979;-976;549;732;
72;-75;52;979;-976;549;732;
76;-75;45;975;-2563;1647;793;
80;-75;45;975;-2563;1647;793;
84;-75;45;975;-2563;1647;793;
88;-66;50;979;-3356;2197;1159;
92;-66;50;979;-3356;2197;1159;
96;-63;42;982;-7873;5493;1708;
100;-63;42;982;-7873;5493;1708;
104;-63;42;982;-7873;5493;1708;
108;-79;16;973;-9765;6835;3906;
112;-79;16;973;-9765;6835;3906;
116;-64;-13;969;-6896;4577;5615;
120;-64;-13;969;-6896;4577;5615;
124;-48;-26;962;-1464;488;6286;
128;-57;-14;968;3417;-3234;7202;
132;-58;-3;977;4760;-4455;9643;
136;-58;-3;977;4760;-4455;9643;
140;-58;-3;977;4760;-4455;9643;
144;-58;-3;977;4760;-4455;9643;
148;-58;-3;977;4760;-4455;9643;
152;-50;6;986;2380;-2624;12573;
156;-50;6;986;2380;-2624;12573;
160;-50;6;986;2380;-2624;12573;
164;-50;6;986;2380;-2624;12573;
168;-67;11;985;-3295;1831;14953;
172;-67;11;985;-3295;1831;14953;
176;-82;-5;976;-8544;5920;16235;
180;-82;-5;976;-8544;5920;16235;
184;-80;-24;967;-8117;5615;17456;
188;-80;-24;967;-8117;5615;17456;
192;-80;-24;967;-8117;5615;17456;
196;-91;-28;961;-2868;1525;19409;
200;-91;-28;961;-2868;1525;19409;
204;-91;-28;961;-2868;1525;19409;
208;-65;-39;961;2868;-3234;18737;
212;-65;-39;961;2868;-3234;18737;
216;-27;-20;954;10375;-9399;16967;
220;-27;-20;954;10375;-9399;16967;
224;-27;-20;954;10375;-9399;16967;
228;0;10;970;17944;-16052;14770;
232;0;10;970;17944;-16052;14770;
236;43;50;1011;18249;-18005;9765;
240;43;50;1011;18249;-18005;9765;
244;38;37;992;3784;-5554;-1770;
248;38;37;992;3784;-5554;-1770;
252;38;37;992;3784;-5554;-1770;
256;-5;21;971;-1464;-122;-10498;
260;-5;21;971;-1464;-122;-10498;
264;-5;21;971;-1464;-122;-10498;
268;-1;31;975;305;-1647;-13183;
272;-1;31;975;305;-1647;-13183;
276;-11;42;979;610;-1647;-13427;
280;-11;42;979;610;-1647;-13427;
284;-11;42;979;610;-1647;-13427;
288;0;59;985;-1586;305;-12512;
292;0;59;985;-1586;305;-12512;
296;8;67;976;-6042;4455;-12573;
300;8;67;976;-6042;4455;-12573;
304;3;65;970;-5676;3967;-12329;
308;3;65;970;-5676;3967;-12329;
312;3;65;970;-5676;3967;-12329;
316;6;69;969;-488;-488;-13488;
320;6;69;969;-488;-488;-13488;
324;6;69;969;-488;-488;-13488;
328;17;94;971;4089;-4272;-15625;
332;17;94;971;4089;-4272;-15625;
336;19;105;977;5981;-5859;-15258;
340;19;105;977;5981;-5859;-15258;
344;19;105;977;5981;-5859;-15258;
348;-3;89;987;6286;-6347;-12207;
352;-3;89;987;6286;-6347;-12207;
356;-24;70;975;2136;-2807;-9460;
360;-24;70;975;2136;-2807;-9460;
364;-36;46;968;0;-976;-6286;
368;-36;46;968;0;-976;-6286;
372;-36;46;968;0;-976;-6286;
376;-36;46;968;488;-1586;-3723;
380;-21;28;975;488;-1586;-3723;
384;-21;28;975;488;-1586;-3723;
388;-14;16;976;549;-1342;-2319;
392;-14;16;976;549;-1342;-2319;
396;-14;16;976;488;-1098;-1525;
400;-12;8;974;488;-1098;-1525;
404;-12;8;974;488;-1098;-1525;
408;-7;0;976;427;-976;-1037;
412;-7;0;976;427;-976;-1037;
416;-7;0;976;427;-1098;305;
420;-1;-4;975;427;-1098;305;
424;-2;3;978;488;-1220;1525;
428;-2;3;978;488;-1220;1525;
432;-2;3;978;488;-1220;1525;
436;-2;3;978;488;-976;1770;
440;-4;17;975;488;-976;1770;
