 unit--timestamp[ms];bmi160_a_x[mg];bmi160_a_y[mg];bmi160_a_z[mg];bmi160_g_x[mDeg];bmi160_g_y[mDeg];bmi160_g_z[mDeg];
0;-33;21;978;-1281;732;-5615;
4;-3;70;986;-1281;732;-5615;
8;-3;70;986;-1281;732;-5615;
12;-3;70;986;-1281;732;-5615;
16;-48;4;949;-3295;854;-244;
20;-48;4;949;-3295;854;-244;
24;-29;28;978;854;-1220;0;
28;-29;28;978;854;-1220;0;
32;-29;28;978;854;-1220;0;
36;-28;27;979;915;-976;-427;
40;-28;27;979;915;-976;-427;
44;-31;25;966;244;-671;-366;
48;-31;25;966;244;-671;-366;
52;-31;25;966;244;-671;-366;
56;-32;25;974;610;-854;-366;
60;-32;25;974;610;-854;-366;
64;-30;28;980;671;-915;-366;
68;-30;28;980;671;-915;-366;
72;-30;28;980;671;-915;-366;
76;-32;28;981;671;-854;-366;
80;-32;28;981;671;-854;-366;
84;-32;26;974;610;-854;-366;
88;-32;26;974;610;-854;-366;
92;-32;26;974;610;-854;-366;
96;-31;24;969;732;-793;-305;
100;-31;24;969;732;-793;-305;
104;-31;25;974;976;-915;-366;
108;-31;25;974;976;-915;-366;
112;-31;25;974;976;-915;-366;
116;-32;24;983;915;-793;-366;
120;-32;24;983;915;-793;-366;
124;-30;25;979;793;-854;-366;
128;-32;25;974;671;-793;-305;
132;-31;26;971;610;-732;-427;
136;-31;26;971;610;-732;-427;
140;-31;26;971;610;-732;-427;
144;-31;26;971;610;-732;-427;
148;-31;26;971;610;-732;-427;
152;-31;26;971;610;-732;-427;
156;-30;25;974;610;-854;-427;
160;-30;25;974;610;-854;-427;
164;-30;27;978;610;-793;-427;
168;-30;27;978;610;-793;-427;
172;-30;27;978;610;-793;-427;
176;-30;27;981;549;-732;-427;
180;-30;27;981;549;-732;-427;
184;-31;27;979;488;-732;-427;
188;-31;27;979;488;-732;-427;
192;-31;27;975;366;-732;-427;
196;-31;27;975;366;-732;-427;
200;-31;27;975;366;-732;-427;
204;-32;27;976;122;-732;-427;
208;-32;27;976;122;-732;-427;
212;-32;27;976;122;-732;-427;
216;-32;27;978;-122;-732;-488;
220;-32;27;978;-122;-732;-488;
224;-30;30;981;-427;-549;-488;
228;-30;30;981;-427;-549;-488;
232;-30;30;981;-427;-549;-488;
236;-30;25;978;-1098;-183;-488;
240;-30;25;978;-1098;-183;-488;
244;-34;22;976;-1220;-122;-488;
248;-34;22;976;-1220;-122;-488;
252;-34;22;976;-1220;-122;-488;
256;-32;29;979;-1220;-183;-610;
260;-32;29;979;-1220;-183;-610;
264;-182;224;944;0;61;-5798;
268;-182;224;944;0;61;-5798;
