 unit--timestamp[ms];bmi160_a_x[mg];bmi160_a_y[mg];bmi160_a_z[mg];bmi160_g_x[mDeg];bmi160_g_y[mDeg];bmi160_g_z[mDeg];
0;-11;59;956;10375;-6713;-366;
4;-11;59;956;10375;-6713;-366;
8;-16;55;959;793;-915;-305;
12;-16;55;959;793;-915;-305;
16;-16;55;959;793;-915;-305;
20;-18;32;978;-6896;3723;-366;
24;-18;32;978;-6896;3723;-366;
28;-32;8;986;-7690;4455;-366;
32;-32;8;986;-7690;4455;-366;
36;-32;8;986;-7690;4455;-366;
40;-34;13;974;-3845;2197;-305;
44;-34;13;974;-3845;2197;-305;
48;-38;16;968;-793;183;-366;
52;-38;16;968;-793;183;-366;
56;-38;16;968;-793;183;-366;
60;-37;19;974;2258;-1525;-427;
64;-37;19;974;2258;-1525;-427;
68;-33;18;978;4821;-3112;-366;
72;-33;18;978;4821;-3112;-366;
76;-33;18;978;4821;-3112;-366;
80;-30;22;975;6652;-4394;-366;
84;-30;22;975;6652;-4394;-366;
88;-20;44;972;6591;-4272;-305;
92;-20;44;972;6591;-4272;-305;
96;-20;44;972;6591;-4272;-305;
100;-21;49;977;793;-793;-366;
104;-21;49;977;793;-793;-366;
108;-35;22;979;-4699;2563;-366;
112;-35;22;979;-4699;2563;-366;
116;-35;22;979;-4699;2563;-366;
120;-36;15;976;-3479;1892;-366;
124;-33;19;974;-610;183;-366;
128;-33;20;977;1586;-1098;-366;
132;-33;20;977;3601;-2380;-305;
136;-35;21;977;3601;-2380;-305;
140;-35;21;977;3601;-2380;-305;
144;-35;21;977;3601;-2380;-305;
148;-35;21;977;3601;-2380;-305;
152;-35;21;977;3601;-2380;-305;
156;-35;21;977;3601;-2380;-305;
160;-28;29;975;5126;-3417;-305;
164;-28;29;975;5126;-3417;-305;
168;-16;47;974;4089;-2746;-366;
172;-16;47;974;4089;-2746;-366;
176;-16;47;974;4089;-2746;-366;
180;-22;40;976;-610;122;-366;
184;-36;22;982;-3051;1647;-366;
188;-36;22;982;-3051;1647;-366;
192;-36;22;982;-3051;1647;-366;
196;-36;22;982;-3051;1647;-366;
200;-37;18;977;-1342;549;-366;
204;-37;18;977;-1342;549;-366;
208;-35;20;974;976;-854;-305;
212;-35;20;974;976;-854;-305;
216;-35;20;974;976;-854;-305;
220;-31;22;978;2807;-2014;-366;
224;-31;22;978;2807;-2014;-366;
228;-23;32;978;3967;-2563;-366;
232;-23;32;978;3967;-2563;-366;
236;-23;32;978;3967;-2563;-366;
240;-20;39;975;2136;-1464;-366;
244;-20;39;975;2136;-1464;-366;
248;-29;29;975;-1220;549;-366;
252;-29;29;975;-1220;549;-366;
256;-29;29;975;-1220;549;-366;
260;-31;19;973;-1525;793;-305;
264;-31;19;973;-1525;793;-305;
268;-30;19;975;671;-549;-366;
272;-30;19;975;671;-549;-366;
276;-30;19;975;671;-549;-366;
280;-27;25;977;2624;-1831;-427;
284;-27;25;977;2624;-1831;-427;
288;-29;32;975;2685;-1892;-366;
292;-29;32;975;2685;-1892;-366;
296;-29;32;975;2685;-1892;-366;
300;-28;32;976;671;-549;-366;
304;-33;23;975;-976;366;-305;
308;-33;23;975;-976;366;-305;
312;-33;23;975;-976;366;-305;
316;-33;23;975;-976;366;-305;
320;-33;19;976;-244;0;-366;
324;-33;19;976;-244;0;-366;
328;-33;21;977;1281;-976;-427;
332;-33;21;977;1281;-976;-427;
336;-33;21;977;1281;-976;-427;
340;-28;29;979;2319;-1647;-366;
344;-28;29;979;2319;-1647;-366;
348;-24;34;978;1953;-1403;-366;
352;-24;34;978;1953;-1403;-366;
356;-24;34;978;1953;-1403;-366;
360;-22;34;971;610;-549;-305;
364;-27;28;975;-122;-61;-427;
368;-27;28;975;-122;-61;-427;
372;-27;28;975;-122;-61;-427;
376;-27;28;975;-122;-61;-427;
380;-33;26;978;549;-305;-427;
384;-33;26;978;549;-305;-427;
388;-32;26;978;1220;-793;-366;
392;-32;26;978;1220;-793;-366;
396;-32;26;978;1220;-793;-366;
400;-29;26;976;1220;-915;-305;
404;-29;26;976;1220;-915;-305;
408;-28;27;976;793;-732;-305;
412;-28;27;976;793;-732;-305;
416;-28;27;976;793;-732;-305;
420;-31;26;974;549;-488;-427;
424;-31;25;975;549;-549;-366;
428;-31;25;975;549;-549;-366;
432;-31;25;975;549;-549;-366;
436;-31;25;975;549;-549;-366;
440;-29;24;977;976;-854;-305;
444;-29;24;977;976;-854;-305;
448;-29;27;977;1281;-1037;-305;
452;-29;27;977;1281;-1037;-305;
456;-29;27;977;1281;-1037;-305;
460;-29;29;975;1098;-793;-427;
464;-29;29;975;1098;-793;-427;
468;-30;28;976;732;-549;-366;
472;-30;28;976;732;-549;-366;
476;-30;28;976;732;-549;-366;
480;-31;27;976;671;-549;-305;
484;-29;27;977;732;-671;-305;
488;-29;27;977;732;-671;-305;
492;-29;27;977;732;-671;-305;
496;-29;27;977;732;-671;-305;
500;-29;29;974;915;-854;-305;
504;-29;29;974;915;-854;-305;
508;-27;27;973;976;-915;-366;
512;-27;27;973;976;-915;-366;
516;-27;27;973;976;-915;-366;
520;-26;27;973;854;-793;-366;
524;-26;27;973;854;-793;-366;
528;-27;26;976;732;-671;-366;
532;-27;26;976;732;-671;-366;
536;-27;26;976;732;-671;-366;
540;-29;26;976;793;-671;-366;
544;-29;26;975;915;-610;-366;
548;-29;26;975;976;-732;-366;
552;-29;27;977;976;-732;-366;
556;-32;29;977;915;-793;-366;
560;-30;26;979;854;-732;-305;
564;-30;26;979;854;-732;-305;
