 unit--timestamp[ms];bmi160_a_x[mg];bmi160_a_y[mg];bmi160_a_z[mg];bmi160_g_x[mDeg];bmi160_g_y[mDeg];bmi160_g_z[mDeg];
0;-48;8;975;-2685;-610;-366;
4;-48;8;975;-2685;-610;-366;
8;-39;13;940;-2441;-488;-366;
12;-39;13;940;-2441;-488;-366;
16;-29;13;971;-3173;549;-244;
20;-29;13;971;-3173;549;-244;
24;-29;13;971;-3173;549;-244;
28;-53;-1;966;-3051;1220;-244;
32;-53;-1;966;-3051;1220;-244;
36;-44;4;977;-1403;-488;-305;
40;-44;4;977;-1403;-488;-305;
44;-44;4;977;-1403;-488;-305;
48;-42;4;977;-1159;-366;-366;
52;-42;4;977;-1159;-366;-366;
56;-43;4;977;-976;-305;-305;
60;-43;4;977;-976;-305;-305;
64;-43;4;977;-976;-305;-305;
68;-46;7;976;-671;-427;-244;
72;-46;7;976;-671;-427;-244;
76;-46;7;976;-366;-427;-305;
80;-46;7;977;-366;-427;-305;
84;-46;7;977;-366;-427;-305;
88;-43;5;978;-305;-366;-305;
92;-43;5;978;-305;-366;-305;
96;-43;5;978;-427;-427;-244;
100;-45;5;978;-427;-427;-244;
104;-45;5;978;-427;-427;-244;
108;-47;5;977;-366;-427;-305;
112;-47;5;977;-366;-427;-305;
116;-47;5;977;-183;-488;-244;
120;-45;7;977;-183;-488;-244;
124;-44;4;975;-244;-549;-366;
128;-45;4;975;-305;-610;-366;
132;-45;4;975;-427;-610;-305;
136;-42;5;978;-427;-610;-305;
140;-42;5;978;-427;-610;-305;
144;-42;5;978;-427;-610;-305;
148;-42;5;978;-427;-610;-305;
152;-43;4;977;-427;-549;-305;
156;-43;4;977;-427;-549;-305;
160;-43;4;977;-427;-549;-305;
164;-43;4;977;-427;-549;-305;
168;-43;3;975;-427;-610;-305;
172;-43;3;975;-427;-610;-305;
176;-43;3;975;-305;-610;-305;
180;-44;4;977;-305;-610;-305;
184;-46;4;978;-305;-488;-366;
188;-46;4;978;-305;-488;-366;
192;-46;4;978;-305;-488;-366;
196;-46;4;978;-183;-427;-427;
200;-46;1;977;-183;-427;-427;
204;-46;1;977;-183;-427;-427;
208;-46;1;977;61;-427;-366;
212;-46;1;977;61;-427;-366;
216;-46;1;977;122;-549;-305;
220;-43;1;977;122;-549;-305;
224;-43;1;977;122;-549;-305;
228;-46;2;978;305;-610;-244;
232;-46;2;978;305;-610;-244;
236;-46;2;978;305;-671;-244;
240;-46;3;975;305;-671;-244;
244;-43;0;976;244;-671;-305;
248;-43;0;976;244;-671;-305;
252;-43;0;976;244;-671;-305;
256;-43;0;976;244;-610;-244;
260;-44;4;976;244;-610;-244;
264;-44;4;976;244;-610;-244;
268;-44;3;976;305;-610;-366;
272;-44;3;976;305;-610;-366;
276;-44;3;976;366;-549;-305;
280;-43;1;977;366;-549;-305;
284;-43;1;977;366;-549;-305;
288;-43;4;976;427;-549;-244;
292;-43;4;976;427;-549;-244;
296;-43;4;976;427;-549;-183;
300;-43;3;976;427;-549;-183;
304;-45;2;976;427;-671;-366;
308;-45;2;976;427;-671;-366;
312;-45;2;976;427;-671;-366;
316;-45;2;976;427;-610;-366;
320;-44;0;976;427;-610;-366;
324;-44;0;976;427;-610;-366;
328;-43;0;976;610;-549;-305;
332;-43;0;976;610;-549;-305;
336;-43;0;976;793;-549;-305;
340;-42;2;976;793;-549;-305;
344;-42;2;976;793;-549;-305;
348;-44;2;976;915;-488;-305;
352;-44;2;976;915;-488;-305;
356;-44;2;976;976;-549;-305;
360;-46;0;976;976;-549;-305;
364;-45;2;975;976;-488;-366;
368;-45;2;975;976;-488;-366;
372;-45;2;975;976;-488;-366;
376;-45;2;975;976;-488;-305;
380;-45;2;978;976;-488;-305;
384;-45;2;978;976;-488;-305;
388;-45;3;977;915;-488;-305;
392;-45;3;977;915;-488;-305;
396;-45;3;977;732;-549;-305;
400;-44;0;977;732;-549;-305;
404;-44;0;977;732;-549;-305;
408;-41;0;976;671;-488;-244;
412;-41;0;976;671;-488;-244;
416;-41;0;976;732;-610;-305;
420;-42;2;977;732;-610;-305;
424;-41;1;978;793;-549;-305;
428;-41;1;978;793;-549;-305;
432;-41;1;978;793;-549;-305;
436;-41;1;978;854;-488;-305;
440;-43;0;976;854;-488;-305;
444;-43;0;976;854;-488;-305;
448;-44;0;974;854;-610;-366;
452;-44;0;974;854;-610;-366;
456;-44;0;974;854;-610;-366;
460;-44;4;976;854;-610;-305;
464;-44;4;976;854;-610;-305;
468;-46;4;977;793;-488;-366;
472;-46;4;977;793;-488;-366;
476;-46;4;977;793;-488;-366;
480;-46;2;976;732;-549;-305;
484;-46;2;978;671;-549;-305;
488;-46;2;978;671;-549;-305;
492;-46;2;978;671;-549;-305;
496;-46;2;978;671;-549;-305;
500;-45;2;976;793;-732;-305;
504;-45;2;976;793;-732;-305;
508;-44;2;975;610;-732;-244;
