 unit--timestamp[ms];bmi160_a_x[mg];bmi160_a_y[mg];bmi160_a_z[mg];bmi160_g_x[mDeg];bmi160_g_y[mDeg];bmi160_g_z[mDeg];
0;-40;31;918;1892;915;-244;
4;-40;31;918;1586;-1159;-183;
8;-39;23;961;1586;-1159;-183;
12;-39;23;961;1586;-1159;-183;
16;-36;20;992;976;-854;-305;
20;-36;20;992;976;-854;-305;
24;-36;20;992;976;-854;-305;
28;-31;18;982;854;-549;-427;
32;-31;18;982;854;-549;-427;
36;-32;17;959;671;-488;-305;
40;-32;17;959;671;-488;-305;
44;-32;17;959;671;-488;-305;
48;-31;17;964;854;-732;-244;
52;-31;17;964;854;-732;-244;
56;-27;17;990;1098;-915;-244;
60;-27;17;990;1098;-915;-244;
64;-27;17;990;1098;-915;-244;
68;-27;18;985;915;-671;-244;
72;-27;18;985;915;-671;-244;
76;-26;14;967;732;-549;-305;
80;-26;14;967;732;-549;-305;
84;-26;14;967;732;-549;-305;
88;-27;15;976;793;-610;-305;
92;-27;15;976;793;-610;-305;
96;-29;20;985;976;-549;-366;
100;-29;20;985;976;-549;-366;
104;-29;20;985;976;-549;-366;
108;-30;18;978;793;-488;-366;
112;-30;18;978;793;-488;-366;
116;-28;20;966;854;-610;-305;
120;-28;20;966;854;-610;-305;
124;-26;22;976;976;-732;-305;
128;-29;19;986;976;-732;-305;
132;-26;18;976;854;-549;-366;
136;-26;18;976;854;-488;-366;
140;-26;18;971;854;-488;-366;
144;-26;18;971;854;-488;-366;
148;-26;18;971;854;-488;-427;
152;-27;19;971;854;-488;-427;
156;-27;19;971;854;-488;-427;
160;-27;19;971;854;-488;-427;
164;-27;19;971;854;-488;-427;
168;-27;19;971;854;-488;-427;
172;-27;19;971;854;-488;-427;
176;-31;19;980;732;-549;-366;
180;-31;19;980;732;-549;-366;
184;-33;19;975;793;-488;-366;
188;-33;19;975;793;-488;-366;
192;-33;19;975;793;-488;-366;
196;-32;18;964;854;-488;-427;
200;-32;18;964;854;-488;-427;
204;-32;18;964;854;-488;-427;
208;-32;19;972;915;-671;-366;
212;-32;19;972;915;-671;-366;
216;-31;20;981;976;-671;-305;
220;-31;20;981;976;-671;-305;
224;-31;20;981;976;-671;-305;
228;-30;21;979;854;-671;-366;
232;-30;21;979;854;-671;-366;
236;-28;18;970;793;-671;-305;
240;-28;18;970;793;-671;-305;
244;-28;18;969;976;-671;-366;
248;-28;18;969;976;-671;-366;
252;-28;18;969;976;-671;-366;
256;-29;18;979;976;-732;-366;
260;-29;18;979;976;-732;-366;
264;-29;18;979;976;-732;-366;
268;-29;17;983;854;-671;-366;
272;-29;17;983;854;-671;-366;
276;-27;16;976;793;-610;-305;
280;-27;16;976;793;-610;-305;
284;-27;16;976;793;-610;-305;
288;-27;19;976;976;-610;-305;
292;-27;19;976;976;-610;-305;
296;-28;18;975;854;-671;-305;
300;-28;18;975;854;-671;-305;
304;-28;18;979;915;-610;-366;
308;-28;18;979;915;-610;-366;
312;-28;18;979;915;-610;-366;
316;-28;18;978;915;-610;-305;
320;-28;18;978;915;-610;-305;
324;-28;18;978;915;-610;-305;
328;-28;20;975;854;-549;-305;
332;-28;20;975;854;-549;-305;
336;-29;19;973;976;-610;-305;
340;-29;19;973;976;-610;-305;
344;-29;19;973;976;-610;-305;
348;-32;16;957;854;-549;-305;
352;-32;16;957;854;-549;-305;
356;-32;21;983;1098;-793;-244;
360;-32;21;983;1098;-793;-244;
364;-30;20;989;1159;-671;-305;
368;-30;20;989;1159;-671;-305;
372;-30;20;989;1159;-671;-305;
376;-31;16;966;732;-305;-305;
380;-31;16;966;732;-305;-305;
384;-31;16;966;732;-305;-305;
388;-26;20;968;915;-610;-305;
392;-26;20;968;915;-610;-305;
396;-29;19;970;1098;-732;-366;
400;-29;19;970;1098;-732;-366;
404;-29;19;970;1098;-732;-366;
408;-31;18;980;915;-671;-305;
412;-31;18;980;915;-671;-305;
416;-27;19;983;976;-610;-305;
420;-27;19;983;976;-610;-305;
424;-29;17;978;915;-549;-305;
428;-29;17;978;915;-549;-305;
432;-29;17;978;915;-549;-305;
436;-27;19;972;854;-610;-305;
440;-27;19;972;854;-610;-305;
444;-27;19;972;854;-610;-305;
448;-25;21;972;976;-671;-427;
452;-25;21;972;976;-671;-427;
456;-27;19;980;915;-671;-427;
460;-27;19;980;915;-671;-427;
464;-27;19;980;915;-671;-427;
468;-28;19;985;915;-549;-366;
472;-28;19;985;915;-549;-366;
476;-28;18;977;976;-549;-305;
480;-28;18;977;976;-549;-305;
484;-29;17;969;854;-610;-305;
488;-29;17;969;854;-610;-305;
492;-29;17;969;854;-610;-305;
496;-29;19;972;915;-610;-305;
500;-29;19;972;915;-610;-305;
504;-29;19;972;915;-610;-305;
508;-30;16;977;976;-671;-305;
512;-30;16;977;976;-671;-305;
516;-31;16;972;915;-671;-305;
520;-31;16;972;915;-671;-305;
524;-31;16;972;915;-671;-305;
528;-30;18;976;915;-671;-366;
532;-30;18;976;915;-671;-366;
536;-30;19;975;1037;-671;-366;
540;-30;19;975;1037;-671;-366;
544;-28;21;977;976;-671;-305;
548;-30;20;973;915;-671;-305;
552;-30;20;973;915;-671;-305;
556;-30;20;972;915;-671;-305;
560;-30;20;972;915;-671;-305;
564;-30;20;972;915;-671;-305;
568;-30;20;972;915;-671;-305;
572;-30;20;972;915;-671;-305;
576;-32;21;973;854;-671;-244;
580;-32;21;973;854;-671;-244;
584;-32;21;973;854;-671;-244;
588;-32;18;974;915;-671;-244;
592;-32;18;974;915;-671;-244;
596;-31;17;974;1037;-793;-244;
