 unit--timestamp[ms];bma280_x[mg];bma280_y[mg];bma280_z[mg];bmi160_a_x[mg];bmi160_a_y[mg];bmi160_a_z[mg];bmi160_g_x[mDeg];bmi160_g_y[mDeg];bmi160_g_z[mDeg];
0;-11;42;1023;-43;24;978;854;-488;-488;
6;-17;41;1021;-41;23;981;793;-732;-305;
12;-11;42;1031;-41;23;981;793;-732;-305;
18;-9;46;1029;-41;25;979;915;-671;-366;
24;-15;41;1033;-41;25;979;915;-610;-366;
30;-13;41;1027;-43;23;977;915;-610;-366;
36;-9;42;1027;-42;24;978;915;-671;-366;
42;-23;39;1025;-42;24;978;915;-671;-366;
48;-11;46;1031;-42;24;981;915;-671;-305;
54;-11;46;1029;-42;23;975;915;-732;-366;
60;-15;37;1023;-42;23;975;915;-732;-366;
66;-11;39;1035;-41;25;975;854;-610;-305;
72;-13;41;1025;-41;25;975;854;-610;-305;
78;-13;42;1021;-41;24;979;854;-671;-305;
84;-11;46;1029;-41;24;979;854;-671;-305;
90;-15;41;1027;-42;21;980;915;-610;-366;
96;-19;41;1035;-42;23;977;854;-732;-305;
102;-11;39;1027;-42;23;977;854;-732;-305;
108;-15;39;1035;-42;23;980;854;-671;-305;
114;-17;39;1031;-42;23;979;915;-671;-366;
120;-19;39;1027;-41;24;976;793;-671;-366;
126;-13;39;1031;-43;25;978;793;-732;-366;
132;-17;44;1031;-43;25;978;793;-732;-366;
138;-11;44;1031;-42;25;978;976;-732;-366;
144;-15;42;1029;-42;25;978;976;-732;-366;
150;-15;37;1027;-42;25;978;976;-732;-366;
156;-17;37;1023;-42;23;980;976;-610;-244;
162;-15;44;1027;-42;23;980;976;-610;-244;
168;-17;37;1029;-43;24;980;854;-671;-366;
174;-21;33;1031;-42;24;977;915;-671;-427;
180;-17;35;1031;-43;24;976;854;-610;-305;
186;-17;42;1029;-43;24;976;854;-610;-305;
192;-13;41;1027;-43;24;976;854;-610;-305;
198;-13;39;1027;-41;23;975;915;-610;-305;
204;-13;41;1027;-41;23;975;915;-610;-305;
210;-11;42;1029;-42;23;979;854;-671;-366;
216;-13;41;1029;-44;23;980;915;-671;-305;
222;-11;42;1025;-44;23;980;915;-671;-305;
228;-19;41;1027;-41;24;977;915;-732;-305;
234;-11;41;1027;-41;23;979;915;-732;-305;
240;-11;37;1031;-41;24;979;854;-671;-305;
246;-15;39;1025;-41;24;979;854;-671;-305;
252;-9;39;1027;-41;24;979;854;-671;-305;
258;-7;44;1031;-40;25;976;854;-732;-305;
264;-9;41;1031;-40;25;976;854;-732;-305;
270;-19;42;1027;-42;23;977;854;-732;-366;
276;-15;46;1025;-43;22;980;793;-732;-366;
282;-7;41;1029;-43;22;980;793;-732;-366;
288;-13;41;1027;-44;23;980;793;-793;-366;
294;-9;41;1027;-41;23;976;915;-671;-366;
300;-21;46;1029;-41;22;978;854;-671;-305;
306;-13;41;1027;-41;22;978;854;-671;-305;
312;-19;41;1031;-41;22;978;854;-671;-305;
318;-15;41;1023;-43;24;979;854;-732;-366;
324;-11;46;1027;-43;24;979;854;-732;-366;
